id,type,number,character name,character sprite,nameKey,track0,track1,act,trigger,direction,sprite position,korean,english,desc
Dan000,line,b_006,마왕 단탈리온,dantallion,npc_name_dan,,blink_start,,,right,235,그러니 그 자리에 놓고 돌아가거라.,"So leave it be, and get back to work.",단탈리온 표정 - 눈 감음
Dan000,line,008,파프라,papra,npc_name_papra,,,,,left,1630,전하…,My lord…,파프라 표정 - 기본
Dan000,line,009,,,,,,,,,,삐-삐-삐-,Beep-Beep-Beep-Beep,
Dan000,line,010,마왕 단탈리온,dantallion,npc_name_dan,,,,,right,235,아아. 그래. 미안하네. ,"Ahh, fine. I am sorry.",
Dan000,line,011,,,,,,,,,,삐-삐-삐-,Beep-Beep-Beep-Beep,
Dan000,line,012,마왕 단탈리온,dantallion,npc_name_dan,,blink_end,,,right,235,그대를 놀리려는건 아니었어.,I didn't mean to tease you.,단탈리온 표정 - 기본
Dan000,line,013,,,,,,,,,,삐-삐-삐-,Beep-Beep-Beep-Beep,
Dan000,line,014,마왕 단탈리온,dantallion,npc_name_dan,,sad,,,right,235,그러니 이 시끄러운 소리는 멈춰주게나?,"So stop this noise, will you?",단탈리온 표정 - 슬픔
Dan000,line,015,파프라,papra,npc_name_papra,,,,,left,1630,소인은 아무것도 하지 않았사옵니다. 전하.,"I have done nothing, my lord.",
Dan000,line,016,마왕 단탈리온,dantallion,npc_name_dan,,surprise,,,right,235,강조되고 반복하는 이 소리는 뭔가?,What is this emphasized and repeating sound?,단탈리온 표정 - 놀람
Dan000,line,017,파프라,papra,npc_name_papra,,,,,left,1630,…아마 그 소리는 마왕성에 침입자가 들어왔다는 뜻 일듯합니다.,…It probably means that an intruder has entered the dungeon.,
Dan000,line,018,마왕 단탈리온,dantallion,npc_name_dan,,contempt,,,right,235,침입자?,An intruder?,단탈리온 표정 - 경멸
Dan000,line,019,파프라,papra,npc_name_papra,,,,,left,1630,"마왕들께서는 허락되지 않은 자가 마왕령에 침입했을 경우, 이를 곧바로 알아챌 수 있다고 합니다.",It is said that the Demon Lords can immediately sense when an unauthorized intruder enters their domain.,
Dan000,line,020,파프라,papra,npc_name_papra,,,,,left,1630,지금 전하께서 말씀하신 그 소리가 침입자에 대한 경고일 것입니다.,"The sound you just mentioned, my lord, is likely a warning about the intruder.",
Dan000,line,021,마왕 단탈리온,dantallion,npc_name_dan,,blink,,,right,235,그럼 침입자를 처리해야겠구나.,"Then, It is clear that someone has to deal with them",단탈리온 표정 - 기본
Dan000,line,022,마왕 단탈리온,dantallion,npc_name_dan,,smile1,,,right,235,부탁한다.,Carry on.,
Dan000,line,023,파프라,papra,npc_name_papra,,,,,left,1630,소인이 말이옵니까?,Me?,
Dan000,line,024,마왕 단탈리온,dantallion,npc_name_dan,,blink,,,right,235,그럼 여기에 그대 말고 누가 있는고?,Who else is here besides you?,
Dan000,line,025,파프라,papra,npc_name_papra,,,,,left,1630,전하. 본디 마왕성의 관리는 마왕들의 신성한 의무입니다.,"My lord, It is Demon lord's sacred duty to manage their dungeon.  ",
Dan000,line,026,파프라,papra,npc_name_papra,,,,,left,1630,하여 전하께서 직접 침입자를 격퇴하는 것이맞다고 사료되옵니다.,So I believe it is appropriate for you to handle them.,
Dan000,line,027,마왕 단탈리온,dantallion,npc_name_dan,,,,,right,235,어허!,How dare!,
Dan000,line,028,파프라,papra,npc_name_papra,,angry,,,left,1630,직접하십시오.,DO. IT. YOURSELF.,파프라 표정 - 분노
Dan000,line,029,마왕 단탈리온,dantallion,npc_name_dan,,sad,,,right,235,아니… 그래도,B…but….,단탈리온 표정 - 슬픔
Dan000,line,030,파프라,papra,npc_name_papra,,blink,,,left,1630,직무를 유기하실 셈이십니까.,Are you abandoning your duties?,파프라 표정 - 기본
Dan000,line,031,마왕 단탈리온,dantallion,npc_name_dan,,,,,right,235,내가 마왕인데 직접 하라고?,"I'm the Demon lord, and you want me to do it myself?",
Dan000,line,032,파프라,papra,npc_name_papra,,,,,left,1630,바로 그렇습니다.,Exactly.,
Dan000,line,033,마왕 단탈리온,dantallion,npc_name_dan,,blink,,,right,235,아… 그런가?,Oh… is that so?,단탈리온 표정 - 기본
Dan000,line,034,파프라,papra,npc_name_papra,,,,,left,1630,예.,Yes,
Dan000,line,035,마왕 단탈리온,dantallion,npc_name_dan,,blink_start,,,right,235,끙…,Urgh….,단탈리온 표정 - 눈 감음
Dan000,line,036,마왕 단탈리온,dantallion,npc_name_dan,,blink_end,,,right,235,지난 번 침입자들을 막은 방어 시설은? 그걸 쓰면 되겠구나. 날 그만 괴롭히거라…,"Don't we have defense facilities we used when before? Use them, and quit bothering…",단탈리온 표정 - 기본
Dan000,line,037,파프라,papra,npc_name_papra,,,,,left,1630,지난 번 사용한 함정이나 병력들을 말씀하시는 건지요?,You mean those traps and troops that used before?,
Dan000,line,038,파프라,papra,npc_name_papra,,,,,left,1630,마계 상회에서 압류해갔습니다.,The guild took them. all.,
Dan000,line,039,마왕 단탈리온,dantallion,npc_name_dan,,surprise,,,right,235,뭣이?,What???,단탈리온 표정 - 놀람
Dan000,line,040,파프라,papra,npc_name_papra,,,,,left,1630,"이틀 전, 길드의 집행자들이 찾아와 채무의 변제를 요구하였습니다.","Two days ago, guild enforcers came for you - requiring for your repayment ",
Dan000,line,041,마왕 단탈리온,dantallion,npc_name_dan,,blink,,,right,235,그건 금시초문인데.,Never heard that before,단탈리온 표정 - 기본
Dan000,line,042,파프라,papra,npc_name_papra,,,,,left,1630,그야 계속 주무셨으니까요. 지금까지 총 666번째 방문입니다.,Because you were sleeping. This was their 666th visit.,
Dan000,line,043,마왕 단탈리온,dantallion,npc_name_dan,,,NoTalk,,right,235,…,…,
Dan000,line,044,파프라,papra,npc_name_papra,,,,,left,1630,"하여 전하께서 적당히 요구사항은 들어주고 돌려보내라 하셨으니,","Since you ordered me to give them whatever they want and send them back,",
Dan000,line,045,파프라,papra,npc_name_papra,,,,,left,1630,압류 확인서에 서명했습니다.,I signed at the forclosure paper.,
Dan000,line,046,마왕 단탈리온,dantallion,npc_name_dan,,,,,right,235,"아니, 그렇다고 거기에 서명하면…","Wait, you can't just sign at any paper instead…",
Dan000,line,047,파프라,papra,npc_name_papra,,angry,,,left,1630,"주군께서. 직접, 명령하신. 일입니다.",YOU. ORDERED. TO. DO. SO.,파프라 표정 - 분노
Dan000,line,048,마왕 단탈리온,dantallion,npc_name_dan,,blink_start,NoTalk,,right,235,…,…,단탈리온 표정 - 눈 감음
Dan000,line,049,파프라,papra,npc_name_papra,,blink,,,left,1630,"그러니, 제가 방법을 찾을 동안 이 일은 직접 해결하십시오. 행운을 빕니다.","So please, deal with this yourself - until I find any solutions. Good luck.",파프라 표정 - 기본
Dan001,line,000,???,vicente,???,idle,,,,left,1600,이곳이구만!,So here it is!,
Dan001,line,001,마왕 단탈리온,dantallion,npc_name_dan,idle,contempt,,,right,235,음?,Hmm?,파프라가 오른쪽을 바라보는 구도 / 단탈리온 보다 우측에 위치
Dan001,line,002,파프라,papra,npc_name_papra,idle,,NoTalk,,right,700,…,…,
Dan001,line,003,???,vicente,???,,,,,left,1600,그래! 니놈이 마왕 나리구만!,"So, you must be the Devil!",
Dan001,line,004,파프라,papra,npc_name_papra,,,,,right,700,"전하, 인간입니다.","My lord, I see a human.",
Dan001,line,005,마왕 단탈리온,dantallion,npc_name_dan,,contempt,,,right,235,"그래, 대머리가 선명하게 보이는구나.","Yes, I can see his bald head from miles away.",
Dan001,line,006,???,vicente,???,,,,,left,1600,"저런 약해빠진 놈 하나 잡지 못했다니,",Hard to believe no one have killed that weakling yet!,
Dan001,line,007,???,vicente,???,,,,,left,1600,시간 낭비만 하고 있었군.,Such a waste of time. ,
Dan001,line,008,???,vicente,???,,,,,left,1600,"빨리 가라, 머저리들아! 가서 저 놈의 목을 잘라버려!","Go get him, bastards! Chop off his head!",
Dan001,line,009,파프라,papra,npc_name_papra,,,,,right,700,아무래도 저자가 주변 마을의 우두머리인 듯 합니다.,Seems that he is the leader of a nearby village.,
Dan001,line,010,마왕 단탈리온,dantallion,npc_name_dan,,,,,right,235,"그래… 이니티 마을의 이장, 비센테란 놈이다.","Yeah… Vicente, mayor of the Initi village.",
Dan001,line,011,비센테,vicente,,,,,,left,1600,네놈은 내가 직접 손봐줘야겠군. 덤벼라!,I'll have to deal with you myself. Bring it on!,
Dan001,line,012,파프라,papra,npc_name_papra,,,,,right,700,…,…,
Dan001,line,013,마왕 단탈리온,dantallion,npc_name_dan,,,,,right,235,"저놈만 처리하면, 다시 침대에서 뒹굴거릴 수 있겠구나…","If I defeat him, I'll be back in bed…",단탈리온 표정 - 웃음
Dan900,line,000,마왕 단탈리온,dantallion,npc_name_dan,idle,smile2,,,right,235,끝났구나. 어떠느냐?,It is done. How was it?,단탈리온 표정 - 웃음
Dan900,line,001,파프라,papra,npc_name_papra,surprise,,,,left,1630,소인. 솔직히 놀랐습니다.,"My lord, it was surely a surprise.",파프라 표정 - 놀람
Dan900,line,002,파프라,papra,npc_name_papra,,,,,left,1630,정말로 끝까지 클리어 하시다니.,I can't believe you actually made it all the way through.,파프라 표정 - 기본
Dan900,line,003,파프라,papra,npc_name_papra,,,,,left,1630,아무래도 전하의 능력을 잘못 판단한 것 같습니다.,I may have misjudged your abilities.,
Dan900,line,004,파프라,papra,npc_name_papra,,,,,left,1630,여기까지 오신 전하의 능력에 감탄밖에 나오질 않습니다.,I have nothing but to admire your abilities to get this far.,
Dan900,line,005,파프라,papra,npc_name_papra,,,,,left,1630,박수를 쳐드리지요.,"You deserve a applause, then.",
Dan900,line,006,파프라,papra,npc_name_papra,,,,,left,1630,(짝짝짝),(Clap-Clap-Clap),
Dan900,line,007,파프라,papra,npc_name_papra,,,NoTalk,,left,1630,…,…,
Dan900,line,008,파프라,papra,npc_name_papra,,,,,left,1630,사실 이 이후는 준비되지 않았습니다.,"In fact, we're not ready after this.",
Dan900,line,009,파프라,papra,npc_name_papra,smile1,,,,left,1630,콘텐츠와 시스템을 더 정비하여 이후에 찾아 뵙도록 하겠습니다.,We'll be back later with more content and system overhauls.,파프라 표정 - 웃음
Dan002,line,000,마왕 단탈리온,dantallion,npc_name_dan,idle,,NoTalk,,right,235,…,…,
Dan002,line,001,파프라,papra,npc_name_papra,idle,,NoTalk,,left,1630,…,…,
Dan002,line,002,쿠오인,quoin,npc_name_quo,idle,,NoTalk,,left,910,…,…,
Dan002,line,003,마왕 단탈리온,dantallion,npc_name_dan,,contempt,,,right,235,누구냐 넌,Who goes there?,
Dan002,line,004,쿠오인,quoin,npc_name_quo,,,,,left,910,히익!,Eek!,
Dan002,line,005,마왕 단탈리온,dantallion,npc_name_dan,,contempt,,,right,235,음? 왜 겁을 먹는건가?,Hm? And why are you trembling like that?,
Dan002,line,006,쿠오인,quoin,npc_name_quo,,,,,left,910,재...재...재상 파프라의 주인님을 뵙습니다!,I-I-I greet the master of Chancellor Papra!,
Dan002,line,007,마왕 단탈리온,dantallion,npc_name_dan,,contempt,,,right,235,재상? 파프라가? 이건 또 처음 듣는...,Chancellor? Papra? That's news to me...,
Dan002,line,008,파프라,papra,npc_name_papra,,blink_start,,,left,1630,크흠,Ahem.,
Dan002,line,009,마왕 단탈리온,dantallion,npc_name_dan,,,,,right,235,아,Ah—,
Dan002,line,010,파프라,papra,npc_name_papra,,blink_end,,,left,1630,전하의 영지에서 몰래 은신처를 마련하여 기생하고 있는 자를 찾아내었사옵니다.,We’ve found someone who was secretly hiding within your majesty's territory.,
Dan002,line,011,마왕 단탈리온,dantallion,npc_name_dan,,,,,right,235,오호,Oh-,
Dan002,line,012,쿠오인,quoin,npc_name_quo,,,,,left,910,단탈리온 마왕 전하! 아닙니다!,"Lord Dantalion! No, wait! I mean—",
Dan002,line,013,파프라,papra,npc_name_papra,,angry,NoTalk,,left,1630,...,...,
Dan002,line,014,쿠오인,quoin,npc_name_quo,,,,,left,910,히익!,Eek!,
Dan002,line,015,마왕 단탈리온,dantallion,npc_name_dan,,,NoTalk,,right,235,…,…,
Dan002,line,016,파프라,papra,npc_name_papra,,,NoTalk,,left,1630,…,…,
Dan002,line,017,쿠오인,quoin,npc_name_quo,,,NoTalk,,left,910,…,…,
Dan002,line,018,마왕 단탈리온,dantallion,npc_name_dan,,blink_start,,,right,235,그래 대충 사정은 알겠다.,Very well. I get the gist of it.,
Dan002,line,019,마왕 단탈리온,dantallion,npc_name_dan,,blink_end,,,right,235,과인에게 대려온 이유가 무엇인고?,Why bring him before me?,
Dan002,line,020,파프라,papra,npc_name_papra,,,,,left,1630,전하. 영지에 숨어 있던 벌레 한마리가 발견 되었다는 것은,"Your majesty, if one rat has been found nesting in your domain,",
Dan002,line,021,파프라,papra,npc_name_papra,,,,,left,1630,더 많은 개체가 남아 있다는 뜻이옵니다.,It likely means more remain.,
Dan002,line,022,파프라,papra,npc_name_papra,,,,,left,1630,이들을 모두 찾아내어 엄하게 벌하시옵소서,We must find them all—and punish them severely.,
Dan002,line,023,마왕 단탈리온,dantallion,npc_name_dan,,contempt,,,right,235,그래... 파프라야.,Hm… Papra.,
Dan002,line,024,마왕 단탈리온,dantallion,npc_name_dan,,blink_start,,,right,235,너가 말한데로라면 이건 묵인 할 수 없는 사태다.,"If what you say is true, this cannot be overlooked.",
Dan002,line,025,마왕 단탈리온,dantallion,npc_name_dan,,blink_end,,,right,235,다만 인재가 없다. 그걸 누가 일일히 찾아다닌다는 것이냐?,But who do we have to root them out?,
Dan002,line,026,마왕 단탈리온,dantallion,npc_name_dan,,,,,right,235,이 마왕성 내부 공간은 사실상 무한한 것을.,This castle is virtually infinite inside. Who would search every corner?,
Dan002,line,027,파프라,papra,npc_name_papra,,,,,left,1630,예. 다행히 여기있는 이 자가 협조해준 덕분에,"Fortunately, thanks to this one here,",
Dan002,line,028,파프라,papra,npc_name_papra,,,,,left,1630,숨어있는 자들의 위치를 모두 파악했사옵니다.,We now have the exact locations of the hidden pests.,
Dan002,line,029,파프라,papra,npc_name_papra,,,,,left,1630,그러니 직접 행차하시어 벌레를 청소하시지요.,"So please—make a rare appearance, and do some cleaning.",
Dan002,line,030,마왕 단탈리온,dantallion,npc_name_dan,,contempt,,,right,235,"아... 
솔직히 귀찮구나.","Sigh…
Honestly, that sounds like a chore.",
Dan002,line,031,파프라,papra,npc_name_papra,,blink_start,,,left,1630,...앞서 말씀 드렸다싶이 마왕성 관리는 마왕의 신성한 의무입니다.,"As I’ve said, the upkeep of the Demon King's Castle is your sacred duty.",
Dan002,line,032,마왕 단탈리온,dantallion,npc_name_dan,,,,,right,235,그럼 거기 너,Very well. You there.,
Dan002,line,033,쿠오인,quoin,npc_name_quo,,,,,left,910,예...옙!,"Y-yes, sir?!",
Dan002,line,034,마왕 단탈리온,dantallion,npc_name_dan,,,,,right,235,이름이 무엇인고?,What’s your name?,
Dan002,line,035,쿠오인,quoin,npc_name_quo,,,,,left,910,쿠오인이라 하옵니다!,I am Quoin!,
Dan002,line,036,마왕 단탈리온,dantallion,npc_name_dan,,smile1,,,right,235,그래 쿠오인. 그대가 알려준 정보이니 그대가 직접 돌아다니면 되겠구나,"Alright Quoin. Since you’ve provided the intel, you shall take care of the pests yourself.",
Dan002,line,037,쿠오인,quoin,npc_name_quo,,,,,left,910,예...옙?,"W-wait, what?!",
Dan002,line,038,파프라,papra,npc_name_papra,,,,,left,1630,아니됩니다.,That won’t do.,
Dan002,line,039,마왕 단탈리온,dantallion,npc_name_dan,,surprise,,,right,235,어째서?,Why not?,
Dan002,line,040,파프라,papra,npc_name_papra,,blink_start,,,left,1630,각자 어울리는 역할이 있는 법입니다.,Each has their proper role to play.,
Dan002,line,041,파프라,papra,npc_name_papra,,blink_end,,,left,1630,이 자는 마계 상회의 상인입니다. ,This man is a merchant of the Demonic Merchant Guild.,
Dan002,line,042,파프라,papra,npc_name_papra,,,,,left,1630,마침 전하의 영지에는 그 흔한 보따리 상인조차 없는 상황이지요.,Your majesty’s lands don’t even have a humble traveling merchant at the moment.,
Dan002,line,043,파프라,papra,npc_name_papra,,,,,left,1630,이제는 아니지만요.,"Well, they didn’t—until now.",
Dan002,line,044,파프라,papra,npc_name_papra,,,,,left,1630,앞으로 이 상인은 전하의 영지와 상회 사이에 가교 역할을 맡게 될 것이고...,"Going forward, this merchant will act as a bridge between the Demonic Merchant Guild and Your majesty’s domain.",
Dan002,line,045,파프라,papra,npc_name_papra,,,,,left,1630,쓸만한 물건을 가져오느라 다소 바쁠 것입니다.,He’ll be quite busy securing worthwhile goods.,
Dan002,line,046,쿠오인,quoin,npc_name_quo,,,,,left,910,예...옙! 맡겨 주십쇼!,Y-yes! Leave it to me!,
Dan002,line,047,마왕 단탈리온,dantallion,npc_name_dan,,,,,right,235,끙...,Hrm…,
Dan002,line,048,파프라,papra,npc_name_papra,,,,,left,1630,그러니 전하.,"And so, My lord...",
Dan002,line,049,파프라,papra,npc_name_papra,,smile_face,,,left,1630,간만에 영지 순찰입니다.,How about a rare patrol through the land?,
Dan003,line,000,쿠오인,quoin,npc_name_quo,idle,,,,left,1630,…,…,
Dan003,line,001,마왕 단탈리온,papra,npc_name_papra,idle,,,,right,235,…,…,향로 해금 컷신 더미 데이터
Dan004,line,000,???,estellen,???,idle,,NoTalk,,left,1600,찾았다...,...Found you.,길드장 등장 컷신
Dan004,line,001,마왕 단탈리온,dantallion,npc_name_dan,idle,contempt,,,right,235,음...? 네놈은 누구냐.,Hm? Who might you be?,
Dan004,line,002,???,estellen,???,,,,,left,1600,하나만 묻지.,Just one question.,
Dan004,line,003,???,estellen,???,,,,,left,1600,너가 단탈리온인가?,Are you Dantalion?,
Dan004,line,004,마왕 단탈리온,dantallion,npc_name_dan,,contempt,,,right,235,...내 질문은 무시인가?,"...Ignoring my question, are you?",
Dan004,line,005,파프라,papra,npc_name_papra,idle,,,,right,700,저...,"Um, milord—",
Dan004,line,006,마왕 단탈리온,dantallion,npc_name_dan,,blink_start,,,right,235,쉿!,Shh!,
Dan004,line,007,마왕 단탈리온,dantallion,npc_name_dan,,blink_end,,,right,235,(저녀석 눈이 재정신으로 보이지 않는다.),(Those eyes… She's not in her right mind.),
Dan004,line,008,마왕 단탈리온,dantallion,npc_name_dan,,sad,,,right,235,(함부로 답하다가 바로 목이 썰릴 수 있어.),(Say the wrong thing and I might lose my head—literally.),
Dan004,line,009,파프라,papra,npc_name_papra,,,,,right,700,(끄덕),(nods silently),
Dan004,line,010,???,estellen,???,,,,,left,1600,뭐... 됐나,Hmph... Good enough.,
Dan004,line,011,???,estellen,???,,,,,left,1600,그냥 다 죽여버리겠다.,I’ll just kill you all.,
Dan004,line,012,마왕 단탈리온,dantallion,npc_name_dan,,sad,,,right,235,아니! 잠깐만!,Wait! Hold on a second—!,
Dan004,line,013,파프라,papra,npc_name_papra,,blink_start,,,right,700,괜히 잔머리를 굴리시니 이렇게 되는겁니다...,See? That’s what happens when you overthink things...,
Dan004,line,014,마왕 단탈리온,dantallion,npc_name_dan,,sad,,,right,235,에잇! 일단 도망친다!,Tch! No choice. We run!,
Dan005,line,000,마왕 단탈리온,dantallion,npc_name_dan,idle,,NoTalk,,right,235,…,…,기사단장 등장 컷신
